age,workclass,education_num,marital_status,occupation,relationship,race,gender,hours_per_week,native_country,capital,income_status
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,2174,<=50K
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0,<=50K
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,<=50K
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,United-States,0,<=50K
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Other,Female,40,Other,0,<=50K
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0,<=50K
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Other,Female,16,Other,0,<=50K
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0,>50K
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,14084,>50K
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,5178,>50K
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,80,United-States,0,>50K
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,40,Other,0,>50K
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0,<=50K
32,Private,12,Never-married,Sales,Not-in-family,Other,Male,50,United-States,0,<=50K
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Other,Male,45,Other,0,<=50K
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0,<=50K
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0,<=50K
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,<=50K
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,0,>50K
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,0,>50K
54,Private,9,Separated,Other-service,Unmarried,Other,Female,20,United-States,0,<=50K
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Other,Male,40,United-States,0,<=50K
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,-2042,<=50K
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0,<=50K
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0,>50K
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,<=50K
39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0,<=50K
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0,<=50K
20,Private,10,Never-married,Sales,Own-child,Other,Male,44,United-States,0,<=50K
45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,-1408,<=50K
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0,<=50K
22,State-gov,10,Married-civ-spouse,Other-service,Husband,Other,Male,15,United-States,0,<=50K
48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Other,0,<=50K
21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0,<=50K
19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,0,<=50K
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,<=50K
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,0,<=50K
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,<=50K
24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,0,<=50K
49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0,<=50K
25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,0,<=50K
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,40,United-States,0,>50K
53,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,0,<=50K
44,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,<=50K
41,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
29,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,0,<=50K
25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,0,<=50K
47,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Other,-1902,>50K
50,Federal-gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,0,>50K
47,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0,<=50K
43,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0,>50K
46,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Other,0,<=50K
35,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Other,0,<=50K
41,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,0,<=50K
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,5013,<=50K
30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,2407,<=50K
48,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
42,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,0,>50K
29,Private,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,0,<=50K
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
28,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0,>50K
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0,>50K
19,Private,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,0,<=50K
31,Private,13,Separated,Sales,Own-child,Other,Female,40,United-States,0,<=50K
29,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,0,>50K
23,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
79,Private,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,0,<=50K
27,Private,9,Never-married,Other-service,Own-child,White,Male,40,Other,0,<=50K
40,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,<=50K
18,Private,7,Never-married,Other-service,Own-child,White,Female,22,United-States,0,<=50K
