crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,bbtown,lstat,medv
0.006,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.898,4.98,24
0.027,0,7.07,0,0.469,6.421,78.9,4.967,2,242,17.8,396.898,9.14,21.6
0.027,0,7.07,0,0.469,7.185,61.1,4.967,2,242,17.8,392.828,4.03,34.7
0.032,0,2.18,0,0.458,6.998,45.8,6.062,3,222,18.7,394.629,2.94,33.4
0.069,0,2.18,0,0.458,7.147,54.2,6.062,3,222,18.7,396.898,5.33,36.2
0.03,0,2.18,0,0.458,6.43,58.7,6.062,3,222,18.7,394.119,5.21,28.7
0.088,12.5,7.87,0,0.524,6.012,66.6,5.56,5,311,15.2,395.6,12.43,22.9
0.145,12.5,7.87,0,0.524,6.172,96.1,5.95,5,311,15.2,396.898,19.15,27.1
0.211,12.5,7.87,0,0.524,5.631,100,6.082,5,311,15.2,386.629,29.93,16.5
0.17,12.5,7.87,0,0.524,6.004,85.9,6.592,5,311,15.2,386.709,17.1,18.9
0.225,12.5,7.87,0,0.524,6.377,94.3,6.347,5,311,15.2,392.52,20.45,15
0.117,12.5,7.87,0,0.524,6.009,82.9,6.227,5,311,15.2,396.898,13.27,18.9
0.094,12.5,7.87,0,0.524,5.889,39,5.451,5,311,15.2,390.5,15.71,21.7
0.63,0,8.14,0,0.538,5.949,61.8,4.707,4,307,21,396.898,8.26,20.4
0.638,0,8.14,0,0.538,6.096,84.5,4.462,4,307,21,380.02,10.26,18.2
0.627,0,8.14,0,0.538,5.834,56.5,4.499,4,307,21,395.619,8.47,19.9
1.054,0,8.14,0,0.538,5.935,29.3,4.499,4,307,21,386.85,6.58,23.1
0.784,0,8.14,0,0.538,5.99,81.7,4.258,4,307,21,386.75,14.67,17.5
0.803,0,8.14,0,0.538,5.456,36.6,3.796,4,307,21,288.988,11.69,20.2
0.726,0,8.14,0,0.538,5.727,69.5,3.796,4,307,21,390.949,11.28,18.2
1.252,0,8.14,0,0.538,5.57,98.1,3.798,4,307,21,376.568,21.02,13.6
0.852,0,8.14,0,0.538,5.965,89.2,4.012,4,307,21,392.529,13.83,19.6
1.232,0,8.14,0,0.538,6.142,91.7,3.977,4,307,21,396.898,18.72,15.2
0.988,0,8.14,0,0.538,5.813,100,4.095,4,307,21,394.539,19.88,14.5
0.75,0,8.14,0,0.538,5.924,94.1,4.4,4,307,21,394.328,16.3,15.6
0.841,0,8.14,0,0.538,5.599,85.7,4.455,4,307,21,303.42,16.51,13.9
0.672,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.879,14.81,16.6
