1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,y
-178,40,-0.11,0.13,1.1,-9,-12,-0.011,0,-7.00E-04,-7.00E-04,-7.00E-04,-7.00E-04,0,0,0,0,-7.00E-04,0.018
-122,9,0.27,0.05,0,-10,-2,-0.005,0.4,-7.00E-04,-7.00E-04,-7.00E-04,-7.00E-04,0,0,0,0,-7.00E-04,0.017
196,-10,-0.44,0.1,0.6,-10,-7,0.003,0.2,-6.00E-04,-6.00E-04,-6.00E-04,-6.00E-04,0,0,0,0,-6.00E-04,0.021
507,-6,0.14,0.1,-0.2,-10,2,0.001,-0.7,-7.00E-04,-6.00E-04,-6.00E-04,-6.00E-04,-1.00E-04,0,0,0,-6.00E-04,0.024
-189,-67,-0.6,-0.08,0.5,-14,17,-0.017,-0.7,-0.0013,-0.0013,-0.0013,-0.0013,0,0,0,0,-0.0013,0.018
-22,22,0.14,0.04,-0.7,-9,4,0.011,-0.9,-7.00E-04,-7.00E-04,-7.00E-04,-7.00E-04,0,0,0,0,-7.00E-04,0.053
-119,-5,-0.13,0.06,1,-8,-5,-0.004,0,-6.00E-04,-6.00E-04,-6.00E-04,-6.00E-04,0,0,0,0,-6.00E-04,0.017
-184,-10,0.37,-0.03,-0.3,-15,15,0.014,-0.5,-8.00E-04,-7.00E-04,-7.00E-04,-7.00E-04,-3.00E-04,0,0,0,-7.00E-04,0.018
-25,-17,-0.16,0.1,0.4,-19,6,0.011,0.2,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.025
-178,-4,-0.22,0,0.4,-6,1,-0.006,0,-5.00E-04,-5.00E-04,-5.00E-04,-5.00E-04,0,0,0,0,-5.00E-04,0.017
-373,34,0.06,0.12,-0.1,-9,-11,0.004,0,-5.00E-04,-5.00E-04,-5.00E-04,-5.00E-04,0,0,0,0,-5.00E-04,0.018
123,-11,0.1,-0.02,-0.7,-7,2,0.004,-0.1,-3.00E-04,-3.00E-04,-3.00E-04,-3.00E-04,0,0,0,0,-3.00E-04,0.018
-213,-19,-0.25,-0.03,0.9,-5,3,0.001,-0.2,-4.00E-04,-4.00E-04,-4.00E-04,-4.00E-04,0,0,0,0,-4.00E-04,0.018
38,-34,-0.19,-0.09,0.4,-8,10,-0.003,0.2,-5.00E-04,-5.00E-04,-5.00E-04,-5.00E-04,0,0,0,0,-5.00E-04,0.016
-116,-43,-0.45,0.03,0.1,-11,5,-0.015,-0.7,-8.00E-04,-0.001,-0.001,-0.001,2.00E-04,0,0,0,-0.001,0.02
301,-17,-0.06,0.02,-0.5,-7,-2,-0.003,0.4,-5.00E-04,-5.00E-04,-5.00E-04,-5.00E-04,0,0,0,0,-5.00E-04,0.02
-300,-37,0.76,0.14,-0.1,-14,-9,-0.001,0.6,-0.0012,-0.001,-0.001,-0.001,-3.00E-04,0,0,0,-0.001,0.034
-141,-39,-0.33,0.01,0.4,-13,8,-0.009,-0.8,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.025
10,-26,-0.38,0.21,1.7,-13,-16,-0.046,-0.1,-0.0016,-0.0016,-0.0016,-0.0016,0,0,0,0,-0.0016,0.02
600,18,0.24,0.24,-0.2,-8,-6,0.007,-3.9,-4.00E-04,-4.00E-04,-4.00E-04,-4.00E-04,0,0,0,0,-4.00E-04,0.02
-148,12,0.48,-0.11,1.5,-5,27,0.003,-3.8,-3.00E-04,-2.00E-04,-2.00E-04,-2.00E-04,-2.00E-04,0,0,0,-2.00E-04,0.013
90,-42,0.13,-0.01,0.5,-14,8,0.007,0.4,-8.00E-04,-8.00E-04,-8.00E-04,-8.00E-04,0,0,0,0,-8.00E-04,0.02
343,-35,0.51,-0.09,-0.9,-12,15,0.019,-0.1,-3.00E-04,-3.00E-04,-3.00E-04,-3.00E-04,0,0,0,0,-3.00E-04,0.019
-64,-8,-0.13,0.08,2,-8,-8,-0.033,0.1,-0.0011,-0.0011,-0.0011,-0.0011,0,0,0,0,-0.0011,0.019
-310,-94,-0.23,-0.15,0.6,-14,29,-0.013,-1.1,-9.00E-04,-0.001,-0.001,-0.0012,1.00E-04,0,1.00E-04,0,-0.0012,0.016
-148,-10,0.22,0.07,-0.5,-11,-2,0.007,-0.2,-8.00E-04,-8.00E-04,-8.00E-04,-8.00E-04,0,0,0,0,-8.00E-04,0.028
445,-22,-0.51,0.14,0.1,-11,-9,-0.009,-1.7,-7.00E-04,-8.00E-04,-8.00E-04,-9.00E-04,1.00E-04,0,1.00E-04,0,-9.00E-04,0.02
-452,-12,-0.44,-0.04,0.5,-8,5,0.005,0.3,-4.00E-04,-4.00E-04,-4.00E-04,-4.00E-04,0,0,0,0,-4.00E-04,0.014
-571,-27,-0.13,-0.05,0.8,-5,5,-0.012,-0.6,-5.00E-04,-5.00E-04,-5.00E-04,-5.00E-04,0,0,0,0,-5.00E-04,0.012
-57,-15,0.31,0.08,-0.5,-19,11,0.011,-0.3,-0.0015,-0.0013,-0.0013,-0.0012,-3.00E-04,0,-2.00E-04,0,-0.0012,0.028
-327,-23,-0.15,0.14,-0.6,-13,-5,-0.003,-0.2,-0.0014,-0.0014,-0.0014,-0.0014,0,0,0,0,-0.0014,0.037
548,15,0.45,0.31,-2.7,-15,1,0.029,-6.6,-3.00E-04,-3.00E-04,-3.00E-04,-3.00E-04,0,0,0,0,-3.00E-04,0.021
-202,13,-0.08,0.25,-2.2,-16,-16,0.006,0,-9.00E-04,-9.00E-04,-9.00E-04,-9.00E-04,0,0,0,0,-9.00E-04,0.019
223,-13,0.39,-0.02,-0.3,-15,12,0.011,-0.2,-8.00E-04,-8.00E-04,-8.00E-04,-8.00E-04,0,0,0,0,-8.00E-04,0.025
467,-13,-0.17,0.09,-0.7,-14,-3,0.009,-0.2,-7.00E-04,-7.00E-04,-7.00E-04,-7.00E-04,0,0,0,0,-7.00E-04,0.02
-332,-27,-0.07,0.02,1.7,-11,-5,-0.01,0.6,-8.00E-04,-8.00E-04,-8.00E-04,-8.00E-04,0,0,0,0,-8.00E-04,0.018
