V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,class
1,0,0,0,0,1,1,0,1,0,0,1,-0.555556,0,0,0,0,0,1,1,1,1,-0.478261,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.57143,0,5,0,1,0,1,0,0,0,1,1,1,0.890909,1,0,-0.781818,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-0.733333,0,0,0,0,-0.647059,0,0,1,1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.625,0,0,0,0,1,0,0,1,1,-0.851852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.02857,0,3,0,0,0,0,0,0,0,1,0,0,1.41667,1,0,-0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.52,0,0,0,0,-0.612903,1,0,1,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,-0.636364,0,0,0,0,1,0,0,0,0,-0.684211,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.942857,0,0,0,0,0,0,1,0,0,0,0,0,0.212121,0,0,-0.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.555556,0,0,0,0,-0.714286,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,-0.612903,0,0,0,0,0,0,0,0,0,-0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,-0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.789474,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,1,0,-0.733333,0,0,0,1,0,0,0,1,1,-0.538462,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1.62857,0,2,0,0,0,0,0,0,0,0,0,0,0.754386,0,0,-0.789474,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.625,0,0,0,0,-0.538462,1,0,1,0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,-0.647059,0,0,0,0,0,0,0,0,0,-0.733333,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.05714,0,0,0,0,0,0,0,0,0,0,0,0,1.02703,0,0,-0.675676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.781818,0,0,0,0,-0.8125,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,-0.666667,0,0,0,0,0,0,0,1,0,-0.8,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.971429,0,1,0,0,1,0,0,0,0,1,1,0,0.5,0,0,-0.647059,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.666667,0,0,0,0,-0.675676,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,-0.666667,0,1,0,1,1,1,1,1,0,-0.555556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.08571,0,1,0,0,0,0,0,0,1,0,0,0,1.26316,0,0,-0.684211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.764706,0,0,0,0,-0.647059,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1,-0.52,0,0,0,0,0,1,1,1,0,-0.777778,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1.2,0,5,0,0,0,0,0,0,0,1,0,0,1.47619,1,1,-0.714286,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.744681,0,0,0,0,-0.777778,1,0,1,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,-0.647059,0,0,0,0,0,0,0,0,0,-0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02857,0,0,0,0,0,0,0,0,0,1,0,0,0.666667,0,0,-0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.79661,0,0,0,0,-0.538462,0,0,0,0,0,1,1,0,1,0,1,0,0,0
