Date,Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
23/09/2017,Aberfeldie,5,h,S,Rendina,7.5,3040,5,4,4,730,373,2014,,-37.7595,144.89427,Western Metropolitan,1543,1830000
23/09/2017,Airport West,3,h,S,Brad,10.4,3042,3,1,2,551,96,1950,,-37.72739,144.88235,Western Metropolitan,3464,850000
23/09/2017,Airport West,3,h,S,Harcourts,10.4,3042,3,2,2,593,,,,-37.72057,144.87558,Western Metropolitan,3464,860000
23/09/2017,Albanvale,3,h,S,Bells,14,3021,3,1,2,619,,,,-37.74521,144.76863,Western Metropolitan,1899,565000
23/09/2017,Albert Park,3,h,VB,Cayzer,3,3206,3,2,,137,125,1890,,-37.84388,144.95303,Southern Metropolitan,3280,2100000
23/09/2017,Albion,3,h,S,Bells,10.5,3020,3,1,1,697,121,1950,,-37.78036,144.8195,Western Metropolitan,2185,760000
23/09/2017,Altona Meadows,4,h,S,YPA,15.5,3028,4,2,2,636,232,1996,,-37.87941,144.76935,Western Metropolitan,7630,750000
23/09/2017,Altona North,3,h,S,Barlow,9.4,3025,3,1,2,667,,,,-37.82853,144.85091,Western Metropolitan,5132,980000
23/09/2017,Altona North,4,h,S,Sweeney,9.4,3025,4,1,5,561,,,,-37.83224,144.853,Western Metropolitan,5132,970000
23/09/2017,Armadale,3,h,VB,hockingstuart,6.3,3143,3,1,,230,115,1900,,-37.86275,145.02364,Southern Metropolitan,4836,1500000
23/09/2017,Armadale,4,h,VB,Kay,6.3,3143,4,3,2,474,180,1915,,-37.86345,145.02454,Southern Metropolitan,4836,3000000
23/09/2017,Ascot Vale,3,t,S,Nelson,4.3,3032,3,2,1,231,,,,-37.77373,144.9311,Western Metropolitan,6567,1130000
23/09/2017,Ashburton,3,h,SP,Buxton,10.2,3147,3,1,2,648,,,,-37.8614,145.08436,Southern Metropolitan,3052,1840000
23/09/2017,Ashburton,3,h,S,Jellis,10.2,3147,3,1,3,407,93,1955,,-37.8696,145.0866,Southern Metropolitan,3052,1210000
23/09/2017,Balwyn,5,h,PI,Marshall,7.9,3103,5,5,2,621,575,2009,,-37.80199,145.06486,Southern Metropolitan,5682,2580000
23/09/2017,Balwyn North,4,h,VB,hockingstuart,9.7,3104,4,2,1,629,,,,-37.79241,145.10445,Southern Metropolitan,7809,1400000
23/09/2017,Bayswater,3,h,S,iTRAK,23.2,3153,3,2,4,782,,,,-37.85002,145.25964,Eastern Metropolitan,5030,755000
23/09/2017,Bayswater North,3,h,S,iTRAK,23.2,3153,3,2,2,482,147,1990,,-37.82391,145.30266,Eastern Metropolitan,3598,724000
23/09/2017,Bayswater North,3,h,S,McGrath,23.2,3153,3,2,5,931,,,,-37.82534,145.29921,Eastern Metropolitan,3598,800000
23/09/2017,Beaumaris,3,h,VB,Marshall,17.3,3193,3,2,2,335,,1996,,-37.97316,145.04042,Southern Metropolitan,5366,1150000
23/09/2017,Bentleigh,5,h,PI,Obrien,11.4,3204,5,2,2,590,,,,-37.92508,145.03606,Southern Metropolitan,6795,1915000
23/09/2017,Bentleigh,4,h,PI,Woodards,11.4,3204,4,3,4,623,214,1950,,-37.92588,145.04808,Southern Metropolitan,6795,1410000
23/09/2017,Bentleigh East,2,h,VB,Buxton,13.8,3165,2,1,2,597,115,1959,,-37.93574,145.06169,Southern Metropolitan,10969,1020000
23/09/2017,Bentleigh East,4,h,S,Jellis,13.8,3165,4,2,2,400,294,,,-37.91608,145.05715,Southern Metropolitan,10969,1675000
23/09/2017,Berwick,3,h,SP,Barry,35.2,3806,3,2,2,957,,,,-38.03383,145.36314,Eastern Victoria,17093,835000
23/09/2017,Black Rock,3,u,S,Ray,17.3,3193,3,2,2,749,,1980,,-37.97676,145.01851,Southern Metropolitan,2866,945000
23/09/2017,Blackburn,3,h,S,Ray,13.4,3130,3,1,2,1271,,,,-37.82151,145.16139,Eastern Metropolitan,5713,786000
23/09/2017,Blackburn North,5,h,S,Buxton,13.4,3130,5,2,2,602,,,,-37.80425,145.14477,Eastern Metropolitan,2867,1555000
23/09/2017,Blackburn North,4,h,PI,Fletchers,13.4,3130,4,2,2,582,240,2011,,-37.80505,145.14919,Eastern Metropolitan,2867,1475000
23/09/2017,Blackburn South,4,h,S,McGrath,13.4,3130,4,2,2,727,115,1960,,-37.84378,145.13407,Eastern Metropolitan,4387,1229000
23/09/2017,Bonbeach,3,h,SP,hockingstuart,27,3196,3,2,2,572,127,1950,,-38.06866,145.12677,South-Eastern Metropolitan,2887,965000
23/09/2017,Box Hill,2,u,S,Philip,10.9,3128,2,1,1,84,77,1970,,-37.8179,145.1341,Eastern Metropolitan,4605,653000
23/09/2017,Brighton East,5,h,S,Buxton,10.3,3187,5,3,3,626,,,,-37.92427,145.02003,Southern Metropolitan,6938,2750000
23/09/2017,Broadmeadows,3,h,S,Barry,14,3047,3,1,3,580,,,,-37.6798,144.90936,Northern Metropolitan,4294,575500
23/09/2017,Brooklyn,3,h,SP,hockingstuart,6.4,3012,3,2,3,738,,,,-37.8227,144.84094,Western Metropolitan,962,901000
23/09/2017,Brunswick,3,h,SP,Chambers,5.2,3056,3,1,2,212,,,,-37.77695,144.95785,Northern Metropolitan,11918,1280000
23/09/2017,Brunswick,3,h,S,hockingstuart,5.2,3056,3,1,1,360,,1900,,-37.75992,144.95664,Northern Metropolitan,11918,1150000
23/09/2017,Brunswick,3,h,S,Jellis,5.2,3056,3,1,1,331,120,1920,,-37.75877,144.97316,Northern Metropolitan,11918,1325000
23/09/2017,Brunswick,4,h,PI,Jellis,5.2,3056,4,1,2,518,,,,-37.75883,144.96749,Northern Metropolitan,11918,1275000
23/09/2017,Brunswick,4,h,VB,Nelson,5.2,3056,4,2,1,278,174,1880,,-37.77081,144.96318,Northern Metropolitan,11918,1630000
23/09/2017,Brunswick,4,h,S,Nelson,5.2,3056,4,2,3,461,187,1930,,-37.76296,144.97239,Northern Metropolitan,11918,1770000
23/09/2017,Brunswick East,2,u,SP,Jellis,4,3057,2,1,1,186,,,,-37.77315,144.97161,Northern Metropolitan,5533,522000
23/09/2017,Brunswick East,2,h,S,Nelson,4,3057,2,1,1,186,,,,-37.76321,144.97837,Northern Metropolitan,5533,1065000
23/09/2017,Brunswick West,3,h,SP,Nelson,5.2,3055,3,1,2,218,,,,-37.76563,144.94111,Northern Metropolitan,7082,1080000
23/09/2017,Brunswick West,3,h,SP,Woodards,5.2,3055,3,1,2,399,105,1950,,-37.75744,144.94945,Northern Metropolitan,7082,1000000
23/09/2017,Bulleen,3,h,S,Barry,10.8,3105,3,2,2,697,158,1970,,-37.76823,145.08103,Eastern Metropolitan,4480,1331000
23/09/2017,Bulleen,4,h,PI,Luxton,10.8,3105,4,2,3,650,120,1960,,-37.77352,145.09844,Eastern Metropolitan,4480,1300000
23/09/2017,Bundoora,3,h,S,Ray,12.1,3083,3,1,2,586,,1970,,-37.70762,145.07179,Northern Metropolitan,10175,745000
23/09/2017,Burnside Heights,3,h,S,YPA,14.8,3023,3,2,2,419,,2007,,-37.73244,144.75669,Western Metropolitan,1686,655000
23/09/2017,Burwood East,3,h,VB,Noel,14.7,3151,3,1,1,189,,,,-37.85777,145.14009,Eastern Metropolitan,4048,680000
23/09/2017,Camberwell,4,h,S,Jellis,7.7,3124,4,2,8,905,,,,-37.84578,145.08436,Southern Metropolitan,8920,2850000
23/09/2017,Camberwell,5,h,VB,Marshall,7.7,3124,5,2,2,768,254,1990,,-37.83825,145.08163,Southern Metropolitan,8920,2800000
23/09/2017,Carnegie,4,h,VB,Ray,10.1,3163,4,2,2,627,181,1905,,-37.89184,145.06056,Southern Metropolitan,7822,1966000
23/09/2017,Carnegie,1,u,S,Ray,10.1,3163,1,1,1,2048,55,1970,,-37.88642,145.05979,Southern Metropolitan,7822,381000
23/09/2017,Caroline Springs,3,h,S,HAR,14.8,3023,3,1,2,238,171,2004,,-37.73917,144.72874,Western Metropolitan,7719,646000
23/09/2017,Cheltenham,3,h,S,Buxton,17.9,3192,3,1,2,566,,,,-37.96488,145.05276,Southern Metropolitan,9758,1015000
23/09/2017,Cheltenham,3,t,S,Buxton,17.9,3192,3,2,2,138,137,2013,,-37.95656,145.06926,Southern Metropolitan,9758,795000
23/09/2017,Cheltenham,3,h,PI,O'Brien,17.9,3192,3,2,2,603,,,,-37.97462,145.07906,Southern Metropolitan,9758,1100000
23/09/2017,Cheltenham,3,h,S,O'Brien,17.9,3192,3,2,2,534,134,1980,,-37.9583,145.06041,Southern Metropolitan,9758,1160000
23/09/2017,Cheltenham,4,h,S,O'Brien,17.9,3192,4,2,2,585,,,,-37.95272,145.06573,Southern Metropolitan,9758,1160000
23/09/2017,Clayton South,3,h,S,C21,17.5,3169,3,1,2,602,,,,-37.94146,145.11121,South-Eastern Metropolitan,4734,800000
23/09/2017,Coburg,4,h,S,Brad,6.7,3058,4,2,1,343,,,,-37.74234,144.95169,Northern Metropolitan,11204,1000000
23/09/2017,Coburg,3,h,S,Nelson,6.7,3058,3,1,3,491,,,,-37.73913,144.96086,Northern Metropolitan,11204,960000
23/09/2017,Craigieburn,3,h,S,Barry,20.6,3064,3,2,2,448,143,2010,,-37.57869,144.91069,Northern Metropolitan,15510,552000
23/09/2017,Craigieburn,4,h,S,Ray,20.6,3064,4,2,2,771,255,2006,,-37.57383,144.92424,Northern Metropolitan,15510,735000
23/09/2017,Craigieburn,4,h,S,Ray,20.6,3064,4,2,2,630,177,2003,,-37.58905,144.93658,Northern Metropolitan,15510,600000
23/09/2017,Craigieburn,4,h,SP,YPA,20.6,3064,4,2,1,294,146,2011,,-37.58364,144.90804,Northern Metropolitan,15510,475000
23/09/2017,Croydon,3,h,S,Barry,23,3136,3,1,2,850,,,,-37.78297,145.28774,Eastern Metropolitan,11925,840500
23/09/2017,Croydon,5,h,S,Barry,23,3136,5,3,3,857,285,2012,,-37.79773,145.26956,Eastern Metropolitan,11925,1180000
23/09/2017,Deer Park,3,h,S,HAR,14.8,3023,3,1,1,562,118,1960,,-37.77224,144.77381,Western Metropolitan,6388,632000
23/09/2017,Delahey,3,h,S,One,18,3037,3,2,2,528,142,2000,,-37.71046,144.77043,Western Metropolitan,2898,607500
23/09/2017,Delahey,3,h,S,Purplebricks,18,3037,3,2,2,469,,,,-37.72438,144.7655,Western Metropolitan,2898,563000
23/09/2017,Derrimut,4,h,S,Stockdale,14.7,3030,4,2,2,516,,,,-37.78763,144.75963,Western Metropolitan,2276,695000
23/09/2017,Diamond Creek,4,h,S,Morrison,21.8,3089,4,3,2,1001,315,2012,,-37.65972,145.159,Northern Victoria,4258,990000
23/09/2017,Doncaster,4,h,PI,Barry,12.4,3108,4,3,3,730,,,,-37.77871,145.10356,Eastern Metropolitan,9028,1260000
23/09/2017,Doncaster East,5,h,S,ASL,14.3,3109,5,2,2,659,,1975,,-37.78628,145.1667,Eastern Metropolitan,10999,1890000
23/09/2017,Doncaster East,4,h,S,Barry,14.3,3109,4,2,2,664,,,,-37.77472,145.15197,Eastern Metropolitan,10999,1310000
23/09/2017,Donvale,3,u,S,Noel,16.1,3111,3,2,1,294,107,1970,,-37.79937,145.18164,Eastern Metropolitan,4790,775000
23/09/2017,Doreen,2,h,SP,The,25.9,3754,2,1,2,184,,,,-37.60835,145.12073,Northern Victoria,7254,365500
23/09/2017,Edithvale,3,h,S,hockingstuart,27,3196,3,1,1,441,,,,-38.03804,145.11728,South-Eastern Metropolitan,2546,837000
23/09/2017,Edithvale,3,h,S,Hodges,27,3196,3,1,2,560,146,1980,,-38.03288,145.11678,South-Eastern Metropolitan,2546,950000
23/09/2017,Epping,3,h,S,Barry,19.6,3076,3,1,2,534,113,1990,,-37.65843,145.03091,Northern Metropolitan,10926,625000
23/09/2017,Epping,3,h,S,hockingstuart,19.6,3076,3,1,1,521,,,,-37.63854,145.05179,Northern Metropolitan,10926,552500
23/09/2017,Epping,3,h,S,Love,19.6,3076,3,2,2,716,114,1979,,-37.64206,145.03703,Northern Metropolitan,10926,646000
23/09/2017,Essendon,3,h,S,Nelson,7.5,3040,3,1,2,795,,,,-37.74903,144.89924,Western Metropolitan,9264,1710000
23/09/2017,Fawkner,4,h,S,Eview,13.1,3060,4,3,2,308,203,2015,,-37.7166,144.97665,Northern Metropolitan,5070,800000
23/09/2017,Ferntree Gully,2,h,S,Noel,24.8,3156,2,1,1,733,110,1950,,-37.87101,145.26642,Eastern Metropolitan,10788,775000
23/09/2017,Ferntree Gully,3,h,S,Ray,24.8,3156,3,2,2,640,,1980,,-37.89335,145.27924,Eastern Metropolitan,10788,791100
23/09/2017,Fitzroy,3,h,PI,Nelson,2.1,3065,3,1,,155,,,,-37.79451,144.98208,Northern Metropolitan,5825,1210000
23/09/2017,Fitzroy,2,h,S,Woodards,2.1,3065,2,1,1,125,124,2000,,-37.79395,144.97698,Northern Metropolitan,5825,1300000
23/09/2017,Fitzroy North,3,h,S,Nelson,3.6,3068,3,2,,175,,,,-37.78305,144.97997,Northern Metropolitan,6244,1730000
23/09/2017,Flemington,2,h,S,Nelson,3.4,3031,2,1,1,193,,,,-37.78749,144.93203,Northern Metropolitan,3593,1100000
23/09/2017,Flemington,2,u,S,Nelson,3.4,3031,2,1,1,807,54,1970,,-37.783,144.93204,Northern Metropolitan,3593,452500
23/09/2017,Forest Hill,4,h,VB,Noel,15.4,3131,4,2,2,653,653,1970,,-37.84362,145.16976,Eastern Metropolitan,4385,1350000
23/09/2017,Forest Hill,4,h,VB,Noel,15.4,3131,4,1,1,607,,1960,,-37.84137,145.17912,Eastern Metropolitan,4385,950000
23/09/2017,Frankston,3,h,S,O'Brien,38,3199,3,1,1,586,,,,-38.14738,145.16653,South-Eastern Metropolitan,17055,634000
23/09/2017,Frankston South,4,h,S,Eview,38,3199,4,2,2,2716,,,,-38.17488,145.1234,South-Eastern Metropolitan,7566,1350000
23/09/2017,Gladstone Park,3,h,S,YPA,12.9,3043,3,1,1,534,,,,-37.68641,144.88487,Western Metropolitan,3285,586000
23/09/2017,Glen Huntly,1,u,S,Hodges,10.1,3163,1,1,1,100,,,,-37.89154,145.04483,Southern Metropolitan,2403,600000
23/09/2017,Glen Iris,3,h,S,Marshall,7.3,3146,3,2,2,374,101,1940,,-37.84967,145.08388,Southern Metropolitan,10412,1285000
23/09/2017,Glen Waverley,4,h,S,Barry,16.7,3150,4,2,2,694,,,,-37.8893,145.18747,Eastern Metropolitan,15321,1214000
23/09/2017,Glen Waverley,4,h,S,Barry,16.7,3150,4,2,2,740,,1960,,-37.88551,145.17559,Eastern Metropolitan,15321,1631888
23/09/2017,Glen Waverley,4,h,S,Ray,16.7,3150,4,2,2,653,,,,-37.89231,145.15141,Eastern Metropolitan,15321,1190000
23/09/2017,Glen Waverley,3,h,S,Stockdale,16.7,3150,3,1,0,984,,,,-37.87376,145.15238,Eastern Metropolitan,15321,2450000
23/09/2017,Glenroy,3,h,S,Barry,11.2,3046,3,2,2,913,112,1950,,-37.70072,144.91662,Northern Metropolitan,8870,1051000
23/09/2017,Glenroy,2,h,PI,Eview,11.2,3046,2,1,1,718,,,,-37.71389,144.92159,Northern Metropolitan,8870,910000
23/09/2017,Glenroy,3,h,S,Stockdale,11.2,3046,3,1,1,672,,,,-37.70542,144.92263,Northern Metropolitan,8870,850000
23/09/2017,Greensborough,3,h,S,Darren,16.1,3088,3,1,2,840,137,1960,,-37.69443,145.11245,Northern Metropolitan,8524,785000
23/09/2017,Hampton,4,h,PI,Buxton,13.8,3188,4,1,2,800,,,,-37.93492,145.01758,Southern Metropolitan,5454,1800000
23/09/2017,Hampton,4,t,VB,Buxton,13.8,3188,4,3,2,360,275,2010,,-37.937,145.01169,Southern Metropolitan,5454,2000000
23/09/2017,Hampton,4,h,VB,Marshall,13.8,3188,4,2,4,683,199,1980,,-37.92983,145.00167,Southern Metropolitan,5454,2500000
23/09/2017,Hampton East,4,h,PI,Buxton,13.8,3188,4,1,1,700,175,1950,,-37.94312,145.0244,Southern Metropolitan,2356,1125000
23/09/2017,Hawthorn East,3,h,S,Marshall,6.2,3123,3,2,2,848,158,1929,,-37.83543,145.04606,Southern Metropolitan,6482,3600000
23/09/2017,Heidelberg,3,h,S,Nelson,8.9,3084,3,1,2,528,118,1955,,-37.74821,145.06933,Eastern Metropolitan,2890,985000
23/09/2017,Heidelberg Heights,3,h,S,hockingstuart,8.8,3081,3,2,2,604,,,,-37.73098,145.06043,Eastern Metropolitan,2947,915000
23/09/2017,Highett,4,h,S,Buxton,16,3190,4,3,2,616,302,2005,,-37.94964,145.02753,Southern Metropolitan,4794,1911000
23/09/2017,Hoppers Crossing,3,h,S,hockingstuart,18.4,3029,3,2,2,700,,1973,,-37.87695,144.69953,Western Metropolitan,13830,568000
23/09/2017,Hoppers Crossing,3,h,S,Purplebricks,18.4,3029,3,2,2,913,174,,,-37.85152,144.70802,Western Metropolitan,13830,650000
23/09/2017,Hoppers Crossing,3,h,SP,Triwest,18.4,3029,3,1,2,635,,1980,,-37.86866,144.69356,Western Metropolitan,13830,550000
23/09/2017,Hoppers Crossing,4,h,S,YPA,18.4,3029,4,2,2,572,,,,-37.87373,144.69131,Western Metropolitan,13830,537000
23/09/2017,Huntingdale,3,h,SA,FN,12.3,3166,3,2,4,622,0,1960,,-37.90823,145.10851,Southern Metropolitan,768,1205000
23/09/2017,Ivanhoe East,4,h,VB,Miles,7.8,3079,4,2,2,585,,,,-37.7709,145.05676,Eastern Metropolitan,1554,2040000
23/09/2017,Jacana,3,h,S,YPA,14,3047,3,1,0,593,,,,-37.68775,144.90942,Northern Metropolitan,851,605000
23/09/2017,Kealba,3,h,S,Barry,14,3021,3,1,2,554,125,1975,,-37.73522,144.82044,Western Metropolitan,1202,572000
23/09/2017,Keilor Downs,3,h,S,Brad,15.5,3038,3,2,2,850,,,,-37.72056,144.80825,Western Metropolitan,3656,680000
23/09/2017,Keilor East,4,h,SP,Barry,11.7,3033,3,1,2,185,113,1965,,-37.7482,144.86924,Western Metropolitan,5629,630000
23/09/2017,Keilor East,3,h,SP,Nelson,11.7,3033,3,1,1,610,,1959,,-37.7356,144.86479,Western Metropolitan,5629,790000
23/09/2017,Keilor East,3,h,SP,Nelson,11.7,3033,3,1,1,624,,,,-37.75046,144.8653,Western Metropolitan,5629,900000
23/09/2017,Kew,2,h,S,hockingstuart,5.4,3101,2,1,0,284,88,1920,,-37.81202,145.04217,Southern Metropolitan,10331,1630000
23/09/2017,Kew,4,h,PI,Jellis,5.4,3101,4,2,2,399,192,1920,,-37.80526,145.04294,Southern Metropolitan,10331,2450000
23/09/2017,Kew,2,t,S,Jellis,5.4,3101,2,1,1,2835,100,1970,,-37.81439,145.04237,Southern Metropolitan,10331,955000
23/09/2017,Kew,3,h,VB,Jellis,5.4,3101,3,2,1,275,,1992,,-37.80442,145.04085,Southern Metropolitan,10331,1350000
23/09/2017,Kew,3,h,PI,Kelly,5.4,3101,3,1,2,780,,,,-37.80969,145.01967,Southern Metropolitan,10331,2600000
23/09/2017,Kew East,6,h,PI,Marshall,7.3,3102,6,2,2,697,170,1962,,-37.79032,145.05408,Southern Metropolitan,2671,1875000
23/09/2017,Keysborough,3,h,S,Area,25.2,3173,3,1,4,533,,,,-37.98433,145.17041,South-Eastern Metropolitan,8459,770000
23/09/2017,Lalor,3,h,S,HAR,16.3,3075,3,1,2,533,,,,-37.6605,145.01218,Northern Metropolitan,8279,652000
23/09/2017,Lalor,4,h,S,Melbourne,16.3,3075,4,2,5,541,110,1980,,-37.66276,145.03074,Northern Metropolitan,8279,766000
23/09/2017,Malvern,3,h,VB,Marshall,5.9,3144,3,2,,395,149,1880,,-37.85892,145.03731,Southern Metropolitan,4675,2500000
23/09/2017,Maribyrnong,2,h,S,Purplebricks,4.3,3032,2,1,,488,113,1910,,-37.78486,144.88616,Western Metropolitan,4918,752500
23/09/2017,Meadow Heights,8,h,S,Barry,17.4,3048,8,3,1,1063,101,1980,,-37.65826,144.92538,Northern Metropolitan,4704,741000
23/09/2017,Melton,3,h,S,FN,31.7,3337,3,1,0,362,19,1976,,-37.68755,144.56887,Western Victoria,3600,283000
23/09/2017,Melton West,4,h,SP,hockingstuart,31.7,3337,4,1,3,675,147,1980,,-37.67363,144.55888,Northern Victoria,6065,430000
23/09/2017,Melton West,3,h,S,hockingstuart,31.7,3337,3,2,2,524,115,,,-37.66869,144.55666,Northern Victoria,6065,439000
23/09/2017,Mentone,3,h,S,Hodges,20,3194,3,2,2,520,,,,-37.98227,145.08134,South-Eastern Metropolitan,6162,815000
23/09/2017,Mill Park,3,h,S,Ray,17.9,3082,3,1,4,345,,,,-37.67121,145.06246,Northern Metropolitan,10529,665000
23/09/2017,Mitcham,4,h,S,Buxton,17.2,3132,4,2,2,481,166,1965,,-37.80961,145.1847,Eastern Metropolitan,6871,890000
23/09/2017,Mitcham,5,h,S,Fletchers,17.2,3132,5,2,2,588,,1970,,-37.81153,145.1855,Eastern Metropolitan,6871,1150000
23/09/2017,Mitcham,3,h,PI,Ray,17.2,3132,3,2,2,327,,,,-37.82863,145.19506,Eastern Metropolitan,6871,902000
23/09/2017,Moonee Ponds,3,h,S,Jellis,6.2,3039,3,1,2,619,129,1965,,-37.76996,144.93466,Western Metropolitan,6232,1162000
23/09/2017,Mooroolbark,3,h,S,hockingstuart,26.5,3138,3,2,1,940,,,,-37.77403,145.30445,Eastern Victoria,8280,835000
23/09/2017,Mount Waverley,4,h,S,Jellis,14.2,3149,4,2,2,692,179,1970,,-37.86445,145.12538,Eastern Metropolitan,13366,1408000
23/09/2017,Mount Waverley,4,h,S,Ray,14.2,3149,4,2,2,664,,,,-37.86301,145.14145,Eastern Metropolitan,13366,1400000
23/09/2017,Mount Waverley,3,h,S,Stockdale,14.2,3149,3,1,1,718,138,1955,,-37.88061,145.12449,Eastern Metropolitan,13366,1586000
23/09/2017,Mulgrave,4,h,S,Ray,18.8,3170,4,2,2,914,204,1980,,-37.93173,145.19475,South-Eastern Metropolitan,7113,1080000
23/09/2017,Mulgrave,3,h,S,Ray,18.8,3170,3,2,2,843,,,,-37.93041,145.16024,South-Eastern Metropolitan,7113,1105000
23/09/2017,Mulgrave,3,h,S,Ray,18.8,3170,3,1,2,656,107,1972,,-37.93271,145.17792,South-Eastern Metropolitan,7113,840000
23/09/2017,Mulgrave,5,h,PI,SN,18.8,3170,5,3,2,654,,1960,,-37.92914,145.17372,South-Eastern Metropolitan,7113,880000
23/09/2017,Murrumbeena,3,h,SP,Woodards,10.1,3163,3,1,1,586,200,1945,,-37.90584,145.0725,Southern Metropolitan,4442,1321188
23/09/2017,New Gisborne,5,h,S,Raine,48.1,3438,5,3,5,44500,44515,,,-37.45392,144.58864,Northern Victoria,849,1355000
23/09/2017,Newport,3,h,SP,Sweeney,6.2,3015,3,1,1,344,,,,-37.84259,144.8749,Western Metropolitan,5498,950000
23/09/2017,Newport,2,h,S,Williams,6.2,3015,2,1,2,343,98,1980,,-37.84332,144.87718,Western Metropolitan,5498,1130000
23/09/2017,Niddrie,2,h,S,Frank,10.4,3042,2,1,2,352,83,1950,,-37.7361,144.88306,Western Metropolitan,2291,800000
23/09/2017,North Melbourne,2,h,SP,Jellis,1.8,3051,2,1,,1044,79,1970,,-37.7983,144.94687,Northern Metropolitan,6821,516000
23/09/2017,Northcote,4,h,VB,Jellis,5.3,3070,4,2,1,344,162,1900,,-37.77171,144.99565,Northern Metropolitan,11364,1550000
23/09/2017,Northcote,2,h,S,Jellis,5.3,3070,2,1,,145,136,1930,,-37.7754,144.99275,Northern Metropolitan,11364,1015000
23/09/2017,Northcote,3,h,SP,McGrath,5.3,3070,3,2,1,184,,1910,,-37.77651,144.99074,Northern Metropolitan,11364,1360000
23/09/2017,Northcote,2,h,VB,Nelson,5.3,3070,2,1,0,320,,1920,,-37.78398,145.01124,Northern Metropolitan,11364,1300000
23/09/2017,Northcote,4,h,S,Ray,5.3,3070,4,2,2,264,188,1996,,-37.76898,144.9858,Northern Metropolitan,11364,1350000
23/09/2017,Notting Hill,3,h,S,Woodards,16.7,3168,3,1,3,530,,,,-37.90556,145.1486,Southern Metropolitan,902,1075000
23/09/2017,Oak Park,2,h,S,Brad,11.2,3046,2,1,1,742,,,,-37.72123,144.92614,Northern Metropolitan,2651,1000000
23/09/2017,Oak Park,3,t,S,Eview,11.2,3046,3,2,2,220,,,,-37.71467,144.91997,Northern Metropolitan,2651,763000
23/09/2017,Oakleigh,3,h,PI,Woodards,12.3,3166,3,1,1,692,120,1940,,-37.90584,145.09495,Southern Metropolitan,3224,760000
23/09/2017,Oakleigh East,3,h,SP,RT,12.3,3166,3,2,2,847,,,,-37.90638,145.11733,Southern Metropolitan,2547,1382000
23/09/2017,Oakleigh South,4,h,S,Buxton,15.5,3167,4,2,2,771,196,1970,,-37.9212,145.09125,South-Eastern Metropolitan,3692,1450000
23/09/2017,Ormond,3,t,PI,Jellis,11.4,3204,3,2,2,1606,,,,-37.9027,145.04159,Southern Metropolitan,3578,1060000
23/09/2017,Ormond,3,h,S,Weston,11.4,3204,3,1,5,737,,,,-37.90205,145.04959,Southern Metropolitan,3578,1540000
