1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
1.138,3,289.964,1349.489,6677.38,7.584,7.584,464.006,288,550.563,1.096,0.998,5.947,1.019,7.137,0.082,0.95,0.975
2.088,6,6960.18,1376.166,6828.469,28.204,28.204,635.401,288,581.658,1.331,0.998,7.282,1.019,10.655,0.287,0.95,0.975
3.144,9,8379.229,1386.757,7111.811,60.358,60.358,606.002,288,587.587,1.389,0.998,7.574,1.02,13.086,0.259,0.95,0.975
4.161,12,14724.395,1547.465,7792.63,113.774,113.774,661.471,288,613.851,1.658,0.998,9.007,1.022,18.109,0.358,0.95,0.975
5.14,15,21636.432,1924.313,8494.777,175.306,175.306,731.494,288,645.642,2.078,0.998,11.197,1.026,26.373,0.522,0.95,0.975
6.175,18,29792.731,2307.404,8828.36,246.278,246.278,800.434,288,676.397,2.501,0.998,13.356,1.03,35.76,0.708,0.95,0.975
7.148,21,38982.18,2678.086,9132.429,332.077,332.077,854.747,288,699.954,2.963,0.998,15.679,1.035,45.881,0.908,0.95,0.975
8.206,24,50996.808,3087.561,9318.562,437.989,437.989,952.122,288,741.77,3.576,0.998,18.632,1.04,62.44,1.236,0.95,0.975
9.3,27,72763.329,3560.395,9778.528,644.905,644.905,1115.797,288,789.094,4.498,0.998,22.811,1.049,92.556,1.832,0.95,0.975
1.138,3,379.88,1355.375,6683.916,7.915,7.915,464.017,288,550.985,1.1,0.998,5.963,1.019,3.879,0.079,0.95,0.976
2.088,6,6969.176,1371.94,6828.438,27.424,27.424,635.96,288,581.44,1.33,0.998,7.272,1.019,12.785,0.289,0.95,0.976
3.144,9,8379.307,1386.758,7114.396,60.353,60.353,605.169,288,587.437,1.389,0.998,7.567,1.02,13.052,0.258,0.95,0.976
4.161,12,14724.544,1547.466,7794.646,113.795,113.795,660.568,288,613.688,1.657,0.998,8.998,1.022,18.066,0.358,0.95,0.976
5.14,15,21636.777,1924.313,8495.697,175.314,175.314,730.495,288,645.457,2.078,0.998,11.185,1.026,26.316,0.521,0.95,0.976
6.175,18,29792.983,2307.388,8829.394,246.295,246.295,799.298,288,676.17,2.501,0.998,13.342,1.03,35.687,0.707,0.95,0.976
7.148,21,38981.896,2678.086,9132.932,332.208,332.208,853.701,288,699.779,2.963,0.998,15.661,1.035,45.799,0.907,0.95,0.976
8.206,24,50997.234,3087.583,9318.935,438.098,438.098,951.073,288,741.605,3.575,0.998,18.611,1.04,62.342,1.234,0.95,0.976
9.3,27,72763.515,3560.401,9779.311,644.963,644.963,1114.887,288,788.949,4.496,0.998,22.784,1.049,92.448,1.83,0.95,0.976
1.138,3,753.021,1371.886,6697.838,8.858,8.858,473.665,288,553.143,1.117,0.998,6.047,1.019,0,0.088,0.95,0.977
2.088,6,6961.726,1371.057,6830.364,27.259,27.259,635.133,288,581.244,1.33,0.998,7.262,1.019,13.192,0.289,0.95,0.977
3.144,9,8379.456,1386.759,7116.987,60.356,60.356,604.338,288,587.286,1.389,0.998,7.559,1.02,13.018,0.258,0.95,0.977
4.161,12,14724.616,1547.466,7796.657,113.801,113.801,659.666,288,613.524,1.657,0.998,8.989,1.022,18.023,0.357,0.95,0.977
5.14,15,21636.925,1924.315,8496.61,175.282,175.282,729.497,288,645.272,2.078,0.998,11.174,1.026,26.26,0.52,0.95,0.977
6.175,18,29793.328,2307.377,8830.433,246.22,246.22,798.166,288,675.943,2.501,0.998,13.328,1.03,35.613,0.705,0.95,0.977
7.148,21,38981.432,2678.086,9133.432,332.108,332.108,852.658,288,699.604,2.962,0.998,15.644,1.035,45.717,0.905,0.95,0.977
8.206,24,50997.566,3087.601,9319.306,438.134,438.134,950.027,288,741.441,3.574,0.998,18.589,1.041,62.245,1.232,0.95,0.977
9.3,27,72764.565,3560.403,9780.103,645.076,645.076,1113.985,288,788.806,4.495,0.998,22.756,1.049,92.342,1.828,0.95,0.977
1.138,3,1341.723,1391.603,6714.114,10.018,10.018,490.661,288,556.617,1.142,0.998,6.185,1.019,0,0.107,0.95,0.978
2.088,6,6895.321,1366.843,6830.317,26.481,26.481,633.651,288,580.761,1.326,0.998,7.239,1.019,15.319,0.289,0.95,0.978
3.144,9,8379.548,1386.759,7119.575,60.351,60.351,603.509,288,587.136,1.389,0.998,7.552,1.02,12.983,0.257,0.95,0.978
4.161,12,14724.731,1547.467,7798.673,113.797,113.797,658.766,288,613.361,1.657,0.998,8.98,1.022,17.98,0.356,0.95,0.978
5.14,15,21636.973,1924.318,8497.521,175.3,175.3,728.501,288,645.088,2.078,0.998,11.162,1.026,26.203,0.519,0.95,0.978
6.175,18,29793.658,2307.365,8831.471,246.288,246.288,797.037,288,675.718,2.5,0.998,13.315,1.03,35.54,0.704,0.95,0.978
7.148,21,38981.087,2678.087,9133.933,332.197,332.197,851.618,288,699.429,2.961,0.998,15.627,1.035,45.636,0.904,0.95,0.978
8.206,24,50997.769,3087.617,9319.674,438.052,438.052,948.984,288,741.277,3.574,0.998,18.568,1.041,62.148,1.23,0.95,0.978
9.3,27,72765.436,3560.405,9780.887,645.04,645.04,1113.084,288,788.664,4.494,0.998,22.729,1.049,92.235,1.826,0.95,0.978
1.138,3,1836.145,1403.714,6725.143,10.747,10.747,505.147,288,559.3,1.163,0.998,6.293,1.019,0,0.124,0.95,0.979
2.088,6,6846.147,1364.27,6831.294,26.018,26.018,632.165,288,580.39,1.324,0.998,7.222,1.019,16.581,0.288,0.95,0.979
3.144,9,8379.616,1386.76,7122.162,60.358,60.358,602.68,288,586.986,1.388,0.998,7.544,1.02,12.949,0.256,0.95,0.979
4.161,12,14724.795,1547.468,7800.688,113.791,113.791,657.869,288,613.198,1.657,0.998,8.971,1.022,17.937,0.355,0.95,0.979
5.14,15,21637.374,1924.318,8498.442,175.283,175.283,727.51,288,644.904,2.077,0.998,11.151,1.026,26.147,0.518,0.95,0.979
6.175,18,29793.951,2307.351,8832.506,246.254,246.254,795.911,288,675.493,2.5,0.998,13.301,1.03,35.467,0.702,0.95,0.979
7.148,21,38980.696,2678.086,9134.434,332.154,332.154,850.58,288,699.255,2.961,0.998,15.61,1.035,45.555,0.902,0.95,0.979
8.206,24,50997.922,3087.627,9320.04,437.996,437.996,947.943,288,741.114,3.573,0.998,18.547,1.041,62.051,1.228,0.95,0.979
