1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,-1,0,1,0,-1,1,7.73906
-1,0,-1,-1,1,1,1,0,-1,0,3.95676
1,0,1,1,-1,-1,0,1,1,1,4.71592
1,0,0,1,0,-1,1,1,1,-1,5.028630000000001
-1,0,-1,-1,-1,-1,-1,1,1,-1,-11.5748
1,1,1,-1,-1,-1,-1,1,-1,-1,6.87817
1,-1,0,0,-1,0,0,0,0,0,-1.94303
1,-1,0,-1,1,1,1,-1,1,0,-1.42592
-1,0,-1,-1,-1,1,0,1,-1,1,-3.6545099999999997
-1,1,-1,0,1,0,-1,0,-1,1,-1.49176
1,0,1,1,-1,1,-1,0,0,0,6.8884300000000005
-1,1,1,0,1,-1,-1,-1,1,-1,-4.06112
1,-1,0,0,1,0,0,-1,0,-1,0.180616
1,0,0,1,1,-1,0,1,1,0,3.2852099999999997
-1,0,1,-1,-1,-1,1,-1,0,1,-8.00197
1,1,-1,1,-1,0,1,0,0,0,4.75477
1,0,-1,-1,1,-1,-1,-1,-1,0,-2.08087
-1,0,0,1,1,-1,0,1,-1,-1,-1.27886
-1,-1,1,-1,-1,0,0,1,1,-1,-4.91547
-1,1,-1,0,0,-1,-1,1,-1,-1,-4.61146
-1,1,1,0,-1,-1,-1,-1,1,0,-10.802
-1,-1,-1,0,-1,-1,1,-1,0,-1,-7.47398
-1,1,0,1,-1,-1,0,-1,0,-1,-8.6021
-1,-1,1,1,-1,-1,0,1,1,0,-7.608969999999999
1,0,-1,1,1,1,1,1,0,0,1.8357
1,1,0,1,0,0,0,1,0,0,5.92239
-1,-1,1,-1,-1,1,-1,-1,1,-1,-4.84776
-1,0,-1,-1,1,1,-1,1,0,1,-0.754753
1,-1,0,0,1,-1,1,-1,0,1,1.2945200000000001
-1,-1,0,-1,1,-1,1,0,-1,-1,-1.1315899999999999
1,-1,1,-1,-1,-1,-1,1,0,-1,0.0031154
1,0,0,-1,-1,1,1,0,1,-1,2.93411
-1,0,0,0,-1,0,0,1,-1,1,-5.81808
-1,-1,-1,1,0,1,-1,-1,0,-1,-3.1081
1,0,-1,0,-1,0,-1,1,1,0,3.4434
-1,-1,-1,1,-1,-1,-1,-1,0,1,-9.41734
1,-1,-1,1,0,-1,0,0,0,-1,-0.532668
-1,-1,-1,1,1,0,1,0,0,0,1.6012
1,1,1,1,-1,-1,1,1,0,1,9.63675
-1,1,1,1,1,-1,1,0,-1,-1,-1.7906
1,0,-1,0,-1,-1,0,-1,1,-1,1.38622
-1,0,-1,1,-1,1,1,0,1,-1,-2.86268
-1,0,1,0,0,1,1,-1,1,0,-0.49656000000000006
-1,0,0,-1,1,1,-1,1,-1,-1,0.9943200000000001
1,-1,-1,1,0,0,-1,1,0,-1,0.636984
1,-1,-1,0,-1,0,0,-1,0,0,-0.9694780000000001
-1,-1,-1,0,1,1,0,1,1,-1,2.10317
-1,1,0,-1,-1,-1,-1,-1,0,-1,-7.213189999999999
1,1,1,1,-1,1,-1,1,0,1,9.56381
1,0,0,1,1,-1,0,-1,-1,1,4.05197
1,-1,-1,1,-1,1,1,1,0,0,-2.0286
-1,0,-1,1,1,1,-1,-1,1,-1,2.06794
-1,1,1,1,1,0,0,-1,-1,-1,-0.5039279999999999
-1,0,1,1,-1,-1,-1,-1,0,1,-8.86294
1,0,1,0,-1,1,-1,-1,-1,0,4.93876
-1,-1,1,-1,0,1,0,-1,-1,-1,-0.773404
-1,1,1,0,0,-1,0,1,0,1,-4.78388
-1,1,0,-1,1,-1,0,-1,1,-1,-0.364697
1,0,-1,1,1,1,-1,0,-1,0,3.30609
-1,0,-1,-1,1,0,0,0,1,1,-0.915745
1,1,1,-1,0,0,0,0,0,-1,5.42191
1,1,-1,-1,1,-1,0,-1,0,1,1.88932
-1,1,0,-1,0,-1,0,1,1,1,-5.278630000000001
-1,1,0,1,1,-1,0,1,1,1,-1.6532099999999998
-1,0,1,0,-1,0,1,-1,1,1,-3.6653800000000003
1,-1,1,1,1,-1,0,1,0,0,4.128080000000001
-1,1,-1,1,-1,1,1,1,0,-1,-1.74118
1,1,-1,1,-1,1,0,-1,-1,1,3.61766
-1,0,0,-1,0,1,0,-1,-1,1,-1.24015
-1,-1,0,1,-1,1,1,1,0,-1,-3.75631
-1,0,1,0,-1,-1,-1,1,1,1,-9.1632
-1,-1,1,-1,0,0,1,-1,1,-1,-3.20824
1,1,0,0,1,1,0,0,1,0,5.43216
-1,-1,0,1,0,0,0,-1,1,0,-3.16473
-1,0,0,1,-1,0,-1,0,0,0,-6.73085
-1,0,0,1,-1,1,1,1,0,0,-3.13232
-1,-1,-1,-1,1,0,1,0,1,-1,0.480501
-1,1,0,1,0,1,0,1,0,0,-1.51667
1,0,-1,1,1,0,0,0,0,-1,2.43513
-1,0,0,1,1,1,-1,-1,0,-1,0.784998
-1,-1,0,-1,0,1,1,0,0,1,-0.679038
1,0,-1,-1,-1,-1,0,0,0,1,0.12016500000000001
-1,-1,1,0,1,-1,0,0,1,1,-3.0573
1,-1,0,0,1,1,-1,0,1,1,0.571304
-1,1,1,1,0,1,1,1,0,0,-0.258579
-1,0,1,0,1,1,-1,1,-1,0,1.67723
-1,-1,-1,0,-1,0,0,1,-1,-1,-6.39612
-1,0,-1,-1,-1,0,1,1,1,0,-5.65484
1,0,0,1,0,1,0,1,-1,-1,5.48104
-1,-1,0,0,-1,-1,1,-1,-1,0,-6.568339999999999
