age,workclass,education_num,marital_status,occupation,relationship,race,gender,hours_per_week,native_country,capital,income_status
39,state_gov,13,never_married,adm_clerical,not_in_family,white,male,40,united_states,2174,<=50k
50,self_emp_not_inc,13,married_civ_spouse,exec_managerial,husband,white,male,13,united_states,0,<=50k
38,private,9,divorced,handlers_cleaners,not_in_family,white,male,40,united_states,0,<=50k
53,private,7,married_civ_spouse,handlers_cleaners,husband,other,male,40,united_states,0,<=50k
28,private,13,married_civ_spouse,prof_specialty,wife,other,female,40,other,0,<=50k
37,private,14,married_civ_spouse,exec_managerial,wife,white,female,40,united_states,0,<=50k
49,private,5,married_spouse_absent,other_service,not_in_family,other,female,16,other,0,<=50k
52,self_emp_not_inc,9,married_civ_spouse,exec_managerial,husband,white,male,45,united_states,0,>50k
31,private,14,never_married,prof_specialty,not_in_family,white,female,50,united_states,14084,>50k
42,private,13,married_civ_spouse,exec_managerial,husband,white,male,40,united_states,5178,>50k
37,private,10,married_civ_spouse,exec_managerial,husband,other,male,80,united_states,0,>50k
30,state_gov,13,married_civ_spouse,prof_specialty,husband,other,male,40,other,0,>50k
23,private,13,never_married,adm_clerical,own_child,white,female,30,united_states,0,<=50k
32,private,12,never_married,sales,not_in_family,other,male,50,united_states,0,<=50k
34,private,4,married_civ_spouse,transport_moving,husband,other,male,45,other,0,<=50k
25,self_emp_not_inc,9,never_married,farming_fishing,own_child,white,male,35,united_states,0,<=50k
32,private,9,never_married,machine_op_inspct,unmarried,white,male,40,united_states,0,<=50k
38,private,7,married_civ_spouse,sales,husband,white,male,50,united_states,0,<=50k
43,self_emp_not_inc,14,divorced,exec_managerial,unmarried,white,female,45,united_states,0,>50k
40,private,16,married_civ_spouse,prof_specialty,husband,white,male,60,united_states,0,>50k
54,private,9,separated,other_service,unmarried,other,female,20,united_states,0,<=50k
35,federal_gov,5,married_civ_spouse,farming_fishing,husband,other,male,40,united_states,0,<=50k
43,private,7,married_civ_spouse,transport_moving,husband,white,male,40,united_states,-2042,<=50k
59,private,9,divorced,tech_support,unmarried,white,female,40,united_states,0,<=50k
56,local_gov,13,married_civ_spouse,tech_support,husband,white,male,40,united_states,0,>50k
19,private,9,never_married,craft_repair,own_child,white,male,40,united_states,0,<=50k
39,private,9,divorced,exec_managerial,not_in_family,white,male,80,united_states,0,<=50k
49,private,9,married_civ_spouse,craft_repair,husband,white,male,40,united_states,0,<=50k
23,local_gov,12,never_married,protective_serv,not_in_family,white,male,52,united_states,0,<=50k
20,private,10,never_married,sales,own_child,other,male,44,united_states,0,<=50k
45,private,13,divorced,exec_managerial,own_child,white,male,40,united_states,-1408,<=50k
30,federal_gov,10,married_civ_spouse,adm_clerical,own_child,white,male,40,united_states,0,<=50k
22,state_gov,10,married_civ_spouse,other_service,husband,other,male,15,united_states,0,<=50k
48,private,7,never_married,machine_op_inspct,unmarried,white,male,40,other,0,<=50k
21,private,10,never_married,machine_op_inspct,own_child,white,male,40,united_states,0,<=50k
19,private,9,married_af_spouse,adm_clerical,wife,white,female,25,united_states,0,<=50k
48,self_emp_not_inc,12,married_civ_spouse,prof_specialty,husband,white,male,40,united_states,0,<=50k
31,private,5,married_civ_spouse,machine_op_inspct,husband,white,male,43,united_states,0,<=50k
53,self_emp_not_inc,13,married_civ_spouse,prof_specialty,husband,white,male,40,united_states,0,<=50k
24,private,13,married_civ_spouse,tech_support,husband,white,male,50,united_states,0,<=50k
49,private,9,separated,adm_clerical,unmarried,white,female,40,united_states,0,<=50k
25,private,9,never_married,handlers_cleaners,not_in_family,white,male,35,united_states,0,<=50k
57,federal_gov,13,married_civ_spouse,prof_specialty,husband,other,male,40,united_states,0,>50k
53,private,9,married_civ_spouse,machine_op_inspct,husband,white,male,38,united_states,0,<=50k
44,private,14,divorced,exec_managerial,unmarried,white,female,40,united_states,0,<=50k
41,state_gov,11,married_civ_spouse,craft_repair,husband,white,male,40,united_states,0,<=50k
29,private,11,never_married,prof_specialty,not_in_family,white,male,43,united_states,0,<=50k
25,private,10,married_civ_spouse,exec_managerial,wife,other,female,40,united_states,0,<=50k
47,private,15,married_civ_spouse,prof_specialty,wife,white,female,60,other,-1902,>50k
50,federal_gov,13,divorced,exec_managerial,not_in_family,white,male,55,united_states,0,>50k
47,self_emp_inc,9,divorced,exec_managerial,not_in_family,white,male,60,united_states,0,<=50k
43,private,10,married_civ_spouse,tech_support,husband,white,male,40,united_states,0,>50k
46,private,3,married_civ_spouse,machine_op_inspct,husband,white,male,40,other,0,<=50k
35,private,11,married_civ_spouse,other_service,husband,white,male,40,other,0,<=50k
41,private,9,married_civ_spouse,adm_clerical,husband,white,male,48,united_states,0,<=50k
30,private,9,married_civ_spouse,machine_op_inspct,husband,white,male,40,united_states,5013,<=50k
30,private,13,married_civ_spouse,sales,husband,white,male,40,united_states,2407,<=50k
48,private,9,married_civ_spouse,transport_moving,husband,white,male,40,united_states,0,<=50k
42,private,16,married_civ_spouse,prof_specialty,husband,white,male,45,united_states,0,>50k
29,private,10,divorced,tech_support,not_in_family,white,male,58,united_states,0,<=50k
36,private,9,married_civ_spouse,craft_repair,husband,white,male,40,united_states,0,<=50k
28,private,10,divorced,adm_clerical,not_in_family,white,female,40,united_states,0,<=50k
53,private,9,married_civ_spouse,adm_clerical,wife,white,female,40,united_states,0,>50k
49,self_emp_inc,10,married_civ_spouse,exec_managerial,husband,white,male,50,united_states,0,>50k
19,private,10,never_married,prof_specialty,own_child,white,male,32,united_states,0,<=50k
31,private,13,separated,sales,own_child,other,female,40,united_states,0,<=50k
29,self_emp_not_inc,13,married_civ_spouse,sales,husband,white,male,70,united_states,0,>50k
23,private,10,never_married,machine_op_inspct,not_in_family,white,male,40,united_states,0,<=50k
79,private,10,married_civ_spouse,prof_specialty,other_relative,white,male,20,united_states,0,<=50k
27,private,9,never_married,other_service,own_child,white,male,40,other,0,<=50k
40,private,12,married_civ_spouse,adm_clerical,husband,white,male,40,united_states,0,<=50k
18,private,7,never_married,other_service,own_child,white,female,22,united_states,0,<=50k
31,local_gov,4,married_civ_spouse,farming_fishing,husband,white,male,40,united_states,0,<=50k
18,private,9,never_married,sales,not_in_family,white,male,30,united_states,0,<=50k
52,private,13,married_civ_spouse,other_service,husband,white,male,40,other,0,<=50k
46,private,9,married_civ_spouse,other_service,wife,white,female,40,united_states,0,<=50k
59,private,9,married_civ_spouse,sales,husband,white,male,48,united_states,0,<=50k
44,private,9,divorced,craft_repair,not_in_family,white,female,40,united_states,14344,>50k
53,private,9,divorced,sales,own_child,white,female,35,united_states,0,<=50k
49,local_gov,9,married_civ_spouse,protective_serv,husband,white,male,40,united_states,0,>50k
33,private,14,married_civ_spouse,prof_specialty,husband,white,male,50,united_states,0,<=50k
30,private,5,never_married,sales,not_in_family,white,male,40,united_states,0,<=50k
